1395,1395,5588,Subaru,70.0,1158234
3281,3281,6695,LADA,70.0,1550154
1427,1427,1311,KIA,70.0,2831036
7408,7408,3911,Infiniti,70.0,3690176
8686,8686,4663,Subaru,70.0,1630553
9189,9189,12167,BMW,70.0,1739839
9096,9096,1821,Subaru,70.0,2784432
5521,5521,17270,Audi,70.0,985529
12992,12992,4962,Audi,70.0,3385885
10106,10106,12095,Infiniti,70.0,2734869
6223,6223,11337,BMW,70.0,617503
445,445,9315,Audi,70.0,2025032
11431,11431,12140,KIA,70.0,3536624
47,47,19297,Mercedez-Benz,70.0,568396
449,449,9634,BMW,70.0,2187917
2926,2926,16667,Daewoo,70.0,2192934
5824,5824,7473,Daewoo,70.0,3134846
9032,9032,5465,Toyota,70.0,2193118
9452,9452,17146,KIA,70.0,2220467
12078,12078,13605,Daewoo,70.0,2580661
11194,11194,14877,Audi,70.0,816021
14195,14195,8822,BMW,70.0,2439943
12029,12029,5953,Audi,70.0,2563943
8015,8015,7154,LADA,70.0,2541628
10753,10753,19377,BMW,70.0,2468225
12884,12884,11405,Daewoo,70.0,376324
10625,10625,16664,Ford,70.0,1388130
3019,3019,14928,LADA,70.0,3187357
13859,13859,18320,Infiniti,70.0,1157998
13365,13365,7961,Mercedez-Benz,70.0,3611862
8479,8479,4429,Infiniti,71.0,257212
12692,12692,2528,Toyota,71.0,354552
7292,7292,2298,Daewoo,71.0,1600109
10301,10301,15600,Audi,71.0,3053108
8106,8106,6674,Daewoo,71.0,570212
8851,8851,7201,Ford,71.0,2775796
4206,4206,4119,Daewoo,71.0,2446347
8183,8183,2851,Toyota,71.0,2772515
14299,14299,4132,Nissan,71.0,2122154
12449,12449,2955,BMW,71.0,1263873
11694,11694,11745,Toyota,71.0,2963361
11522,11522,1537,Toyota,71.0,216954
2233,2233,3157,KIA,71.0,3125758
7268,7268,6418,LADA,71.0,1148335
13632,13632,7185,Subaru,71.0,2705442
7327,7327,7304,Mercedez-Benz,71.0,2160343
5875,5875,16129,Audi,71.0,2360545
12915,12915,5804,Toyota,71.0,1020402
6667,6667,1758,Nissan,71.0,2196915
9545,9545,14137,Subaru,71.0,820037
11662,11662,5846,Ford,71.0,2905468
3516,3516,11677,Nissan,71.0,1398887
3862,3862,12044,Mercedez-Benz,71.0,3828644
13121,13121,12108,Subaru,71.0,3564653
2418,2418,613,Nissan,71.0,892587
