8686,9579,5555,Daewoo,85.0,1575000
13122,14492,6452,Mercedez-Benz,451.0,3682014
11958,13229,17655,Ford,82.0,1864729
8850,9762,13807,Infiniti,123.0,528462
9236,10208,4259,Mercedez-Benz,406.0,2390068
5600,6163,19086,Audi,131.0,1731183
7913,8724,12912,Ford,419.0,3202947
2166,2394,12912,LADA,349.0,1724494
299,328,239,Ford,367.0,1477336
836,922,13961,Daewoo,249.0,1177126
11479,12691,7635,Daewoo,219.0,1782373
12385,13695,4554,Toyota,313.0,273702
7462,8232,4401,Subaru,357.0,2768978
3913,4328,11786,Toyota,316.0,1984715
333,364,16593,Toyota,460.0,2426444
12862,14213,13961,LADA,103.0,3013307
7266,8011,4187,BMW,181.0,3360766
10272,11346,13961,LADA,373.0,946708
3650,4044,10608,Toyota,351.0,3459179
3242,3593,11413,Toyota,416.0,2726547
11213,12403,3969,Infiniti,132.0,2697918
6755,7449,11413,Audi,270.0,442061
10339,11417,7421,Mercedez-Benz,386.0,3038023
11230,12420,10922,Subaru,183.0,2451485
3589,3978,14948,Audi,337.0,2094065
5156,5674,631,Daewoo,396.0,3126077
9899,10933,10664,Toyota,136.0,1448417
383,420,4642,BMW,123.0,3624807
10058,11104,14773,Subaru,197.0,2382689
4980,5487,2389,Mercedez-Benz,257.0,2648761
4756,5245,8547,Ford,446.0,1695327
3565,3953,16716,BMW,345.0,990160
11551,12768,16030,Ford,322.0,1434217
13097,14467,11996,Subaru,243.0,1809782
10656,11773,12796,Nissan,445.0,344473
2188,2418,613,Nissan,71.0,892587
146,163,2887,BMW,440.0,1690552
12683,14017,2389,KIA,386.0,1792250
1641,1806,1293,Mercedez-Benz,488.0,2173979
7513,8286,14948,KIA,229.0,2217326
4109,4535,9686,Infiniti,496.0,649563
8970,9905,2887,Daewoo,468.0,3083605
12465,13786,15614,BMW,346.0,2665299
4094,4518,16012,Daewoo,192.0,2229659
5847,6441,13044,LADA,358.0,1696601
2040,2256,19836,Audi,365.0,3035407
13089,14458,7847,Nissan,203.0,3879917
11165,12350,14840,Toyota,148.0,3896990
12681,14015,16020,KIA,146.0,2204861
11730,12971,7900,Daewoo,172.0,1646334
12030,13309,18514,LADA,311.0,894701
12010,13285,7143,KIA,260.0,2983985
4379,4833,15363,LADA,357.0,1232549
13227,14618,16789,Ford,375.0,2618056
1885,2075,18601,BMW,441.0,391576
483,528,18514,Ford,463.0,658558
10036,11081,16020,Subaru,82.0,652773
5382,5925,523,Nissan,265.0,2583638
9714,10731,7143,LADA,180.0,3564816
7491,8264,14980,Nissan,139.0,3509218
10818,11955,4802,KIA,444.0,3259001
7484,8257,14980,Audi,485.0,1149584
9009,9950,7847,BMW,139.0,996232
3508,3885,8051,Daewoo,162.0,2405490
6981,7697,9005,KIA,128.0,267284
6477,7139,19756,Infiniti,191.0,388934
3363,3722,9834,Ford,371.0,2239653
6317,6959,10987,Toyota,358.0,866492
10033,11078,11128,Infiniti,356.0,412449
2063,2280,17601,KIA,402.0,1791085
10497,11595,11605,Mercedez-Benz,92.0,2650432
5685,6259,16041,Ford,468.0,3568266
3425,3795,18867,LADA,96.0,1576983
13066,14433,6399,Nissan,405.0,936071
2154,2379,19311,Toyota,73.0,858879
7444,8213,13568,BMW,321.0,406089
1533,1688,12494,KIA,108.0,1283435
12183,13476,9277,Daewoo,97.0,1606246
10876,12019,12494,LADA,448.0,816777
7725,8522,5013,Infiniti,438.0,2612888
7902,8711,11399,Infiniti,384.0,1094094
314,343,1895,Toyota,329.0,2649095
8869,9788,12984,Infiniti,281.0,3927885
5231,5759,19311,Infiniti,364.0,3426911
9316,10297,6086,BMW,159.0,1060165
11665,12898,6919,Toyota,394.0,3636560
9341,10325,17920,Nissan,327.0,339165
2208,2442,13568,Toyota,150.0,3655233
11475,12687,6172,Ford,448.0,3179015
11391,12595,11650,Mercedez-Benz,245.0,2246953
11321,12519,15362,Nissan,189.0,883462
675,743,11399,Daewoo,454.0,2126247
770,848,6172,Subaru,78.0,1113301
6194,6825,17490,Mercedez-Benz,398.0,339242
2018,2231,18867,Ford,253.0,3115247
3942,4360,18587,Ford,435.0,3465683
2338,2581,18867,Ford,411.0,3355151
9571,10581,17199,LADA,384.0,1125781
10374,11455,18067,Toyota,257.0,3516356
1825,2008,3610,Nissan,408.0,650351
7673,8461,18340,Nissan,157.0,2516388
6912,7622,7705,Ford,486.0,984716
9846,10873,2000,Subaru,82.0,857672
3735,4136,11340,BMW,177.0,560283
9463,10458,12380,LADA,180.0,2785774
1360,1499,4837,KIA,421.0,1506464
9432,10424,2526,Nissan,220.0,2779516
8636,9522,2264,LADA,200.0,3823032
2466,2725,3610,Audi,390.0,2425237
8169,9004,4545,Toyota,462.0,3943399
1629,1793,17199,Infiniti,435.0,620707
7803,8606,16286,BMW,81.0,1801841
12514,13839,13935,Infiniti,272.0,2033150
1220,1340,1126,Subaru,394.0,3556950
515,562,13935,Mercedez-Benz,205.0,2010492
10610,11723,17199,Audi,178.0,379626
11875,13136,7561,Infiniti,138.0,1688275
4540,5007,8249,Mercedez-Benz,234.0,2329819
13120,14490,18067,Subaru,99.0,2672745
2713,3003,13400,Mercedez-Benz,471.0,3962459
98,109,16286,Daewoo,371.0,1616074
11630,12858,14655,KIA,269.0,3164087
11696,12934,14655,Mercedez-Benz,416.0,946902
5444,5994,13705,LADA,144.0,2000765
11453,12663,5597,Infiniti,469.0,1825949
5040,5551,3111,Subaru,300.0,3488660
3008,3337,5525,Ford,451.0,2829675
5489,6042,7274,Subaru,101.0,1073375
1726,1900,10533,Ford,173.0,324165
982,1080,10567,Ford,492.0,200800
9125,10084,8967,BMW,283.0,429931
3705,4103,15275,Ford,98.0,1856994
13319,14719,18138,LADA,497.0,1482223
4739,5228,11240,Mercedez-Benz,218.0,3806271
863,952,7274,Mercedez-Benz,439.0,1383254
9667,10682,10544,Mercedez-Benz,379.0,1718222
3781,4185,11240,Infiniti,136.0,1491697
10988,12154,17949,Nissan,80.0,2236095
12325,13631,10567,Ford,426.0,1353076
4562,5032,17949,BMW,301.0,861506
12323,13629,12709,BMW,90.0,1907955
10586,11695,13020,Daewoo,278.0,2550018
654,718,18412,Toyota,352.0,228831
10470,11564,7274,LADA,394.0,2812864
2844,3151,13020,LADA,131.0,1129912
12306,13611,3111,BMW,403.0,3224811
2379,2629,12331,BMW,480.0,3053473
13140,14514,5142,Daewoo,260.0,578034
1453,1598,9522,Subaru,455.0,3960595
6148,6777,10375,Infiniti,457.0,3690375
7086,7814,18412,Ford,268.0,1335241
1399,1542,5811,Mercedez-Benz,419.0,3454563
7267,8013,5597,Toyota,450.0,3296902
13176,14556,19219,Mercedez-Benz,392.0,2134128
8889,9815,2474,Nissan,343.0,1954290
10855,11995,7206,Ford,108.0,2331838
4580,5050,952,Audi,351.0,1648554
8072,8901,7206,BMW,397.0,3128540
13222,14612,5709,Audi,283.0,3637632
4299,4745,19554,Audi,430.0,647747
13532,14953,19554,Daewoo,211.0,3034890
2536,2803,7589,LADA,101.0,485745
9427,10419,13329,Subaru,355.0,1588932
5361,5902,2018,Nissan,131.0,2848490
3591,3980,18852,BMW,139.0,1604396
4464,4924,7206,Audi,186.0,1045566
8329,9180,11268,Audi,179.0,3325684
6316,6958,14254,Toyota,334.0,810383
4504,4967,14568,LADA,458.0,2880217
5854,6450,5752,LADA,256.0,329212
7180,7917,11430,Subaru,237.0,1515487
8519,9393,778,BMW,336.0,3103985
7479,8250,2961,Subaru,447.0,2310616
10859,12000,13329,Audi,425.0,1112519
10839,11979,4297,LADA,341.0,456917
